"","drift","index","example","drifter","event_type"
"1",FALSE,1,"WELL15_2","dfr_multi_criteria","5"
"2",FALSE,2,"WELL15_2","dfr_multi_criteria","5"
"3",FALSE,3,"WELL15_2","dfr_multi_criteria","5"
"4",FALSE,4,"WELL15_2","dfr_multi_criteria","5"
"5",FALSE,5,"WELL15_2","dfr_multi_criteria","5"
"6",FALSE,6,"WELL15_2","dfr_multi_criteria","5"
"7",FALSE,7,"WELL15_2","dfr_multi_criteria","5"
"8",FALSE,8,"WELL15_2","dfr_multi_criteria","5"
"9",FALSE,9,"WELL15_2","dfr_multi_criteria","5"
"10",FALSE,10,"WELL15_2","dfr_multi_criteria","5"
"11",FALSE,11,"WELL15_2","dfr_multi_criteria","5"
"12",FALSE,12,"WELL15_2","dfr_multi_criteria","5"
"13",FALSE,13,"WELL15_2","dfr_multi_criteria","5"
"14",FALSE,14,"WELL15_2","dfr_multi_criteria","5"
"15",FALSE,15,"WELL15_2","dfr_multi_criteria","5"
"16",FALSE,16,"WELL15_2","dfr_multi_criteria","5"
"17",FALSE,17,"WELL15_2","dfr_multi_criteria","5"
"18",FALSE,18,"WELL15_2","dfr_multi_criteria","5"
"19",FALSE,19,"WELL15_2","dfr_multi_criteria","5"
"20",FALSE,20,"WELL15_2","dfr_multi_criteria","5"
"21",FALSE,21,"WELL15_2","dfr_multi_criteria","5"
"22",FALSE,22,"WELL15_2","dfr_multi_criteria","5"
"23",FALSE,23,"WELL15_2","dfr_multi_criteria","5"
"24",FALSE,24,"WELL15_2","dfr_multi_criteria","5"
"25",FALSE,25,"WELL15_2","dfr_multi_criteria","5"
"26",FALSE,26,"WELL15_2","dfr_multi_criteria","5"
"27",FALSE,27,"WELL15_2","dfr_multi_criteria","5"
"28",FALSE,28,"WELL15_2","dfr_multi_criteria","5"
"29",FALSE,29,"WELL15_2","dfr_multi_criteria","5"
"30",FALSE,30,"WELL15_2","dfr_multi_criteria","5"
"31",FALSE,31,"WELL15_2","dfr_multi_criteria","5"
"32",FALSE,32,"WELL15_2","dfr_multi_criteria","5"
"33",FALSE,33,"WELL15_2","dfr_multi_criteria","5"
"34",FALSE,34,"WELL15_2","dfr_multi_criteria","5"
"35",FALSE,35,"WELL15_2","dfr_multi_criteria","5"
"36",FALSE,36,"WELL15_2","dfr_multi_criteria","5"
"37",FALSE,37,"WELL15_2","dfr_multi_criteria","5"
"38",FALSE,38,"WELL15_2","dfr_multi_criteria","5"
"39",FALSE,39,"WELL15_2","dfr_multi_criteria","5"
"40",FALSE,40,"WELL15_2","dfr_multi_criteria","5"
"41",FALSE,41,"WELL15_2","dfr_multi_criteria","5"
"42",FALSE,42,"WELL15_2","dfr_multi_criteria","5"
"43",FALSE,43,"WELL15_2","dfr_multi_criteria","5"
"44",FALSE,44,"WELL15_2","dfr_multi_criteria","5"
"45",FALSE,45,"WELL15_2","dfr_multi_criteria","5"
"46",FALSE,46,"WELL15_2","dfr_multi_criteria","5"
"47",FALSE,47,"WELL15_2","dfr_multi_criteria","5"
"48",FALSE,48,"WELL15_2","dfr_multi_criteria","5"
"49",FALSE,49,"WELL15_2","dfr_multi_criteria","5"
"50",FALSE,50,"WELL15_2","dfr_multi_criteria","5"
"51",FALSE,51,"WELL15_2","dfr_multi_criteria","5"
"52",FALSE,52,"WELL15_2","dfr_multi_criteria","5"
"53",FALSE,53,"WELL15_2","dfr_multi_criteria","5"
"54",FALSE,54,"WELL15_2","dfr_multi_criteria","5"
"55",FALSE,55,"WELL15_2","dfr_multi_criteria","5"
"56",FALSE,56,"WELL15_2","dfr_multi_criteria","5"
"57",FALSE,57,"WELL15_2","dfr_multi_criteria","5"
"58",FALSE,58,"WELL15_2","dfr_multi_criteria","5"
"59",FALSE,59,"WELL15_2","dfr_multi_criteria","5"
"60",FALSE,60,"WELL15_2","dfr_multi_criteria","5"
"61",FALSE,61,"WELL15_2","dfr_multi_criteria","5"
"62",FALSE,62,"WELL15_2","dfr_multi_criteria","5"
"63",FALSE,63,"WELL15_2","dfr_multi_criteria","5"
"64",FALSE,64,"WELL15_2","dfr_multi_criteria","5"
"65",FALSE,65,"WELL15_2","dfr_multi_criteria","5"
"66",FALSE,66,"WELL15_2","dfr_multi_criteria","5"
"67",FALSE,67,"WELL15_2","dfr_multi_criteria","5"
"68",FALSE,68,"WELL15_2","dfr_multi_criteria","5"
"69",FALSE,69,"WELL15_2","dfr_multi_criteria","5"
"70",FALSE,70,"WELL15_2","dfr_multi_criteria","5"
"71",FALSE,71,"WELL15_2","dfr_multi_criteria","5"
"72",FALSE,72,"WELL15_2","dfr_multi_criteria","5"
"73",FALSE,73,"WELL15_2","dfr_multi_criteria","5"
"74",FALSE,74,"WELL15_2","dfr_multi_criteria","5"
"75",FALSE,75,"WELL15_2","dfr_multi_criteria","5"
"76",FALSE,76,"WELL15_2","dfr_multi_criteria","5"
"77",FALSE,77,"WELL15_2","dfr_multi_criteria","5"
"78",FALSE,78,"WELL15_2","dfr_multi_criteria","5"
"79",FALSE,79,"WELL15_2","dfr_multi_criteria","5"
"80",FALSE,80,"WELL15_2","dfr_multi_criteria","5"
"81",FALSE,81,"WELL15_2","dfr_multi_criteria","5"
"82",FALSE,82,"WELL15_2","dfr_multi_criteria","5"
"83",FALSE,83,"WELL15_2","dfr_multi_criteria","5"
"84",FALSE,84,"WELL15_2","dfr_multi_criteria","5"
"85",FALSE,85,"WELL15_2","dfr_multi_criteria","5"
"86",FALSE,86,"WELL15_2","dfr_multi_criteria","5"
"87",FALSE,87,"WELL15_2","dfr_multi_criteria","5"
"88",FALSE,88,"WELL15_2","dfr_multi_criteria","5"
"89",FALSE,89,"WELL15_2","dfr_multi_criteria","5"
"90",FALSE,90,"WELL15_2","dfr_multi_criteria","5"
"91",FALSE,91,"WELL15_2","dfr_multi_criteria","5"
"92",FALSE,92,"WELL15_2","dfr_multi_criteria","5"
"93",FALSE,93,"WELL15_2","dfr_multi_criteria","5"
"94",FALSE,94,"WELL15_2","dfr_multi_criteria","5"
"95",FALSE,95,"WELL15_2","dfr_multi_criteria","5"
"96",FALSE,96,"WELL15_2","dfr_multi_criteria","5"
"97",FALSE,97,"WELL15_2","dfr_multi_criteria","5"
"98",FALSE,98,"WELL15_2","dfr_multi_criteria","5"
"99",FALSE,99,"WELL15_2","dfr_multi_criteria","5"
"100",FALSE,100,"WELL15_2","dfr_multi_criteria","5"
"101",FALSE,101,"WELL15_2","dfr_multi_criteria","5"
"102",FALSE,102,"WELL15_2","dfr_multi_criteria","5"
"103",FALSE,103,"WELL15_2","dfr_multi_criteria","5"
"104",FALSE,104,"WELL15_2","dfr_multi_criteria","5"
"105",FALSE,105,"WELL15_2","dfr_multi_criteria","5"
"106",FALSE,106,"WELL15_2","dfr_multi_criteria","5"
"107",FALSE,107,"WELL15_2","dfr_multi_criteria","5"
"108",FALSE,108,"WELL15_2","dfr_multi_criteria","5"
"109",FALSE,109,"WELL15_2","dfr_multi_criteria","5"
"110",FALSE,110,"WELL15_2","dfr_multi_criteria","5"
"111",FALSE,111,"WELL15_2","dfr_multi_criteria","5"
"112",FALSE,112,"WELL15_2","dfr_multi_criteria","5"
"113",FALSE,113,"WELL15_2","dfr_multi_criteria","5"
"114",FALSE,114,"WELL15_2","dfr_multi_criteria","5"
"115",FALSE,115,"WELL15_2","dfr_multi_criteria","5"
"116",FALSE,116,"WELL15_2","dfr_multi_criteria","5"
"117",FALSE,117,"WELL15_2","dfr_multi_criteria","5"
"118",FALSE,118,"WELL15_2","dfr_multi_criteria","5"
"119",FALSE,119,"WELL15_2","dfr_multi_criteria","5"
"120",FALSE,120,"WELL15_2","dfr_multi_criteria","5"
"121",FALSE,121,"WELL15_2","dfr_multi_criteria","5"
"122",FALSE,122,"WELL15_2","dfr_multi_criteria","5"
"123",FALSE,123,"WELL15_2","dfr_multi_criteria","5"
"124",FALSE,124,"WELL15_2","dfr_multi_criteria","5"
"125",FALSE,125,"WELL15_2","dfr_multi_criteria","5"
"126",FALSE,126,"WELL15_2","dfr_multi_criteria","5"
"127",FALSE,127,"WELL15_2","dfr_multi_criteria","5"
"128",FALSE,128,"WELL15_2","dfr_multi_criteria","5"
"129",FALSE,129,"WELL15_2","dfr_multi_criteria","5"
"130",FALSE,130,"WELL15_2","dfr_multi_criteria","5"
"131",FALSE,131,"WELL15_2","dfr_multi_criteria","5"
"132",FALSE,132,"WELL15_2","dfr_multi_criteria","5"
"133",FALSE,133,"WELL15_2","dfr_multi_criteria","5"
"134",FALSE,134,"WELL15_2","dfr_multi_criteria","5"
"135",FALSE,135,"WELL15_2","dfr_multi_criteria","5"
"136",FALSE,136,"WELL15_2","dfr_multi_criteria","5"
"137",FALSE,137,"WELL15_2","dfr_multi_criteria","5"
"138",FALSE,138,"WELL15_2","dfr_multi_criteria","5"
"139",FALSE,139,"WELL15_2","dfr_multi_criteria","5"
"140",FALSE,140,"WELL15_2","dfr_multi_criteria","5"
"141",FALSE,141,"WELL15_2","dfr_multi_criteria","5"
"142",FALSE,142,"WELL15_2","dfr_multi_criteria","5"
"143",FALSE,143,"WELL15_2","dfr_multi_criteria","5"
"144",FALSE,144,"WELL15_2","dfr_multi_criteria","5"
"145",FALSE,145,"WELL15_2","dfr_multi_criteria","5"
"146",FALSE,146,"WELL15_2","dfr_multi_criteria","5"
"147",FALSE,147,"WELL15_2","dfr_multi_criteria","5"
"148",FALSE,148,"WELL15_2","dfr_multi_criteria","5"
"149",FALSE,149,"WELL15_2","dfr_multi_criteria","5"
"150",FALSE,150,"WELL15_2","dfr_multi_criteria","5"
"151",FALSE,151,"WELL15_2","dfr_multi_criteria","5"
"152",FALSE,152,"WELL15_2","dfr_multi_criteria","5"
"153",FALSE,153,"WELL15_2","dfr_multi_criteria","5"
"154",FALSE,154,"WELL15_2","dfr_multi_criteria","5"
"155",FALSE,155,"WELL15_2","dfr_multi_criteria","5"
"156",FALSE,156,"WELL15_2","dfr_multi_criteria","5"
"157",FALSE,157,"WELL15_2","dfr_multi_criteria","5"
"158",FALSE,158,"WELL15_2","dfr_multi_criteria","5"
"159",FALSE,159,"WELL15_2","dfr_multi_criteria","5"
"160",FALSE,160,"WELL15_2","dfr_multi_criteria","5"
"161",FALSE,161,"WELL15_2","dfr_multi_criteria","5"
"162",FALSE,162,"WELL15_2","dfr_multi_criteria","5"
"163",FALSE,163,"WELL15_2","dfr_multi_criteria","5"
"164",FALSE,164,"WELL15_2","dfr_multi_criteria","5"
"165",FALSE,165,"WELL15_2","dfr_multi_criteria","5"
"166",FALSE,166,"WELL15_2","dfr_multi_criteria","5"
"167",FALSE,167,"WELL15_2","dfr_multi_criteria","5"
"168",FALSE,168,"WELL15_2","dfr_multi_criteria","5"
"169",FALSE,169,"WELL15_2","dfr_multi_criteria","5"
"170",FALSE,170,"WELL15_2","dfr_multi_criteria","5"
"171",FALSE,171,"WELL15_2","dfr_multi_criteria","5"
"172",FALSE,172,"WELL15_2","dfr_multi_criteria","5"
"173",FALSE,173,"WELL15_2","dfr_multi_criteria","5"
"174",FALSE,174,"WELL15_2","dfr_multi_criteria","5"
"175",FALSE,175,"WELL15_2","dfr_multi_criteria","5"
"176",FALSE,176,"WELL15_2","dfr_multi_criteria","5"
"177",FALSE,177,"WELL15_2","dfr_multi_criteria","5"
"178",FALSE,178,"WELL15_2","dfr_multi_criteria","5"
"179",FALSE,179,"WELL15_2","dfr_multi_criteria","5"
"180",FALSE,180,"WELL15_2","dfr_multi_criteria","5"
"181",FALSE,181,"WELL15_2","dfr_multi_criteria","5"
"182",FALSE,182,"WELL15_2","dfr_multi_criteria","5"
"183",FALSE,183,"WELL15_2","dfr_multi_criteria","5"
"184",FALSE,184,"WELL15_2","dfr_multi_criteria","5"
"185",FALSE,185,"WELL15_2","dfr_multi_criteria","5"
"186",FALSE,186,"WELL15_2","dfr_multi_criteria","5"
"187",FALSE,187,"WELL15_2","dfr_multi_criteria","5"
"188",FALSE,188,"WELL15_2","dfr_multi_criteria","5"
"189",FALSE,189,"WELL15_2","dfr_multi_criteria","5"
"190",FALSE,190,"WELL15_2","dfr_multi_criteria","5"
"191",FALSE,191,"WELL15_2","dfr_multi_criteria","5"
"192",FALSE,192,"WELL15_2","dfr_multi_criteria","5"
"193",FALSE,193,"WELL15_2","dfr_multi_criteria","5"
"194",FALSE,194,"WELL15_2","dfr_multi_criteria","5"
"195",FALSE,195,"WELL15_2","dfr_multi_criteria","5"
"196",FALSE,196,"WELL15_2","dfr_multi_criteria","5"
"197",FALSE,197,"WELL15_2","dfr_multi_criteria","5"
"198",FALSE,198,"WELL15_2","dfr_multi_criteria","5"
"199",FALSE,199,"WELL15_2","dfr_multi_criteria","5"
"200",FALSE,200,"WELL15_2","dfr_multi_criteria","5"
"201",FALSE,201,"WELL15_2","dfr_multi_criteria","5"
"202",FALSE,202,"WELL15_2","dfr_multi_criteria","5"
"203",FALSE,203,"WELL15_2","dfr_multi_criteria","5"
"204",FALSE,204,"WELL15_2","dfr_multi_criteria","5"
"205",FALSE,205,"WELL15_2","dfr_multi_criteria","5"
"206",FALSE,206,"WELL15_2","dfr_multi_criteria","5"
"207",FALSE,207,"WELL15_2","dfr_multi_criteria","5"
"208",FALSE,208,"WELL15_2","dfr_multi_criteria","5"
"209",FALSE,209,"WELL15_2","dfr_multi_criteria","5"
"210",FALSE,210,"WELL15_2","dfr_multi_criteria","5"
"211",FALSE,211,"WELL15_2","dfr_multi_criteria","5"
"212",FALSE,212,"WELL15_2","dfr_multi_criteria","5"
"213",FALSE,213,"WELL15_2","dfr_multi_criteria","5"
"214",FALSE,214,"WELL15_2","dfr_multi_criteria","5"
"215",FALSE,215,"WELL15_2","dfr_multi_criteria","5"
"216",FALSE,216,"WELL15_2","dfr_multi_criteria","5"
"217",FALSE,217,"WELL15_2","dfr_multi_criteria","5"
"218",FALSE,218,"WELL15_2","dfr_multi_criteria","5"
"219",FALSE,219,"WELL15_2","dfr_multi_criteria","5"
"220",FALSE,220,"WELL15_2","dfr_multi_criteria","5"
"221",FALSE,221,"WELL15_2","dfr_multi_criteria","5"
"222",FALSE,222,"WELL15_2","dfr_multi_criteria","5"
"223",FALSE,223,"WELL15_2","dfr_multi_criteria","5"
"224",FALSE,224,"WELL15_2","dfr_multi_criteria","5"
"225",FALSE,225,"WELL15_2","dfr_multi_criteria","5"
"226",FALSE,226,"WELL15_2","dfr_multi_criteria","5"
"227",FALSE,227,"WELL15_2","dfr_multi_criteria","5"
"228",FALSE,228,"WELL15_2","dfr_multi_criteria","5"
"229",FALSE,229,"WELL15_2","dfr_multi_criteria","5"
"230",FALSE,230,"WELL15_2","dfr_multi_criteria","5"
"231",FALSE,231,"WELL15_2","dfr_multi_criteria","5"
"232",FALSE,232,"WELL15_2","dfr_multi_criteria","5"
"233",FALSE,233,"WELL15_2","dfr_multi_criteria","5"
"234",FALSE,234,"WELL15_2","dfr_multi_criteria","5"
"235",FALSE,235,"WELL15_2","dfr_multi_criteria","5"
"236",FALSE,236,"WELL15_2","dfr_multi_criteria","5"
"237",FALSE,237,"WELL15_2","dfr_multi_criteria","5"
"238",FALSE,238,"WELL15_2","dfr_multi_criteria","5"
"239",FALSE,239,"WELL15_2","dfr_multi_criteria","5"
"240",FALSE,240,"WELL15_2","dfr_multi_criteria","5"
"241",FALSE,241,"WELL15_2","dfr_multi_criteria","5"
"242",FALSE,242,"WELL15_2","dfr_multi_criteria","5"
"243",FALSE,243,"WELL15_2","dfr_multi_criteria","5"
"244",FALSE,244,"WELL15_2","dfr_multi_criteria","5"
"245",FALSE,245,"WELL15_2","dfr_multi_criteria","5"
"246",FALSE,246,"WELL15_2","dfr_multi_criteria","5"
"247",FALSE,247,"WELL15_2","dfr_multi_criteria","5"
"248",FALSE,248,"WELL15_2","dfr_multi_criteria","5"
"249",FALSE,249,"WELL15_2","dfr_multi_criteria","5"
"250",FALSE,250,"WELL15_2","dfr_multi_criteria","5"
"251",FALSE,251,"WELL15_2","dfr_multi_criteria","5"
"252",FALSE,252,"WELL15_2","dfr_multi_criteria","5"
"253",FALSE,253,"WELL15_2","dfr_multi_criteria","5"
"254",FALSE,254,"WELL15_2","dfr_multi_criteria","5"
"255",FALSE,255,"WELL15_2","dfr_multi_criteria","5"
"256",FALSE,256,"WELL15_2","dfr_multi_criteria","5"
"257",FALSE,257,"WELL15_2","dfr_multi_criteria","5"
"258",FALSE,258,"WELL15_2","dfr_multi_criteria","5"
"259",FALSE,259,"WELL15_2","dfr_multi_criteria","5"
"260",FALSE,260,"WELL15_2","dfr_multi_criteria","5"
"261",FALSE,261,"WELL15_2","dfr_multi_criteria","5"
"262",FALSE,262,"WELL15_2","dfr_multi_criteria","5"
"263",FALSE,263,"WELL15_2","dfr_multi_criteria","5"
"264",FALSE,264,"WELL15_2","dfr_multi_criteria","5"
"265",FALSE,265,"WELL15_2","dfr_multi_criteria","5"
"266",FALSE,266,"WELL15_2","dfr_multi_criteria","5"
"267",FALSE,267,"WELL15_2","dfr_multi_criteria","5"
"268",FALSE,268,"WELL15_2","dfr_multi_criteria","5"
"269",FALSE,269,"WELL15_2","dfr_multi_criteria","5"
"270",FALSE,270,"WELL15_2","dfr_multi_criteria","5"
"271",FALSE,271,"WELL15_2","dfr_multi_criteria","5"
"272",FALSE,272,"WELL15_2","dfr_multi_criteria","5"
"273",FALSE,273,"WELL15_2","dfr_multi_criteria","5"
"274",FALSE,274,"WELL15_2","dfr_multi_criteria","5"
"275",FALSE,275,"WELL15_2","dfr_multi_criteria","5"
"276",FALSE,276,"WELL15_2","dfr_multi_criteria","5"
"277",FALSE,277,"WELL15_2","dfr_multi_criteria","5"
"278",FALSE,278,"WELL15_2","dfr_multi_criteria","5"
"279",FALSE,279,"WELL15_2","dfr_multi_criteria","5"
"280",FALSE,280,"WELL15_2","dfr_multi_criteria","5"
"281",FALSE,281,"WELL15_2","dfr_multi_criteria","5"
"282",FALSE,282,"WELL15_2","dfr_multi_criteria","5"
"283",FALSE,283,"WELL15_2","dfr_multi_criteria","5"
"284",FALSE,284,"WELL15_2","dfr_multi_criteria","5"
"285",FALSE,285,"WELL15_2","dfr_multi_criteria","5"
"286",FALSE,286,"WELL15_2","dfr_multi_criteria","5"
"287",FALSE,287,"WELL15_2","dfr_multi_criteria","5"
"288",FALSE,288,"WELL15_2","dfr_multi_criteria","5"
"289",FALSE,289,"WELL15_2","dfr_multi_criteria","5"
"290",FALSE,290,"WELL15_2","dfr_multi_criteria","5"
"291",FALSE,291,"WELL15_2","dfr_multi_criteria","5"
"292",FALSE,292,"WELL15_2","dfr_multi_criteria","5"
"293",FALSE,293,"WELL15_2","dfr_multi_criteria","5"
"294",FALSE,294,"WELL15_2","dfr_multi_criteria","5"
"295",FALSE,295,"WELL15_2","dfr_multi_criteria","5"
"296",FALSE,296,"WELL15_2","dfr_multi_criteria","5"
"297",FALSE,297,"WELL15_2","dfr_multi_criteria","5"
"298",FALSE,298,"WELL15_2","dfr_multi_criteria","5"
"299",FALSE,299,"WELL15_2","dfr_multi_criteria","5"
"300",FALSE,300,"WELL15_2","dfr_multi_criteria","5"
"301",FALSE,301,"WELL15_2","dfr_multi_criteria","5"
"302",FALSE,302,"WELL15_2","dfr_multi_criteria","5"
"303",FALSE,303,"WELL15_2","dfr_multi_criteria","5"
"304",FALSE,304,"WELL15_2","dfr_multi_criteria","5"
"305",FALSE,305,"WELL15_2","dfr_multi_criteria","5"
"306",FALSE,306,"WELL15_2","dfr_multi_criteria","5"
"307",FALSE,307,"WELL15_2","dfr_multi_criteria","5"
"308",FALSE,308,"WELL15_2","dfr_multi_criteria","5"
"309",FALSE,309,"WELL15_2","dfr_multi_criteria","5"
"310",FALSE,310,"WELL15_2","dfr_multi_criteria","5"
"311",FALSE,311,"WELL15_2","dfr_multi_criteria","5"
"312",FALSE,312,"WELL15_2","dfr_multi_criteria","5"
"313",FALSE,313,"WELL15_2","dfr_multi_criteria","5"
"314",FALSE,314,"WELL15_2","dfr_multi_criteria","5"
"315",FALSE,315,"WELL15_2","dfr_multi_criteria","5"
"316",FALSE,316,"WELL15_2","dfr_multi_criteria","5"
"317",FALSE,317,"WELL15_2","dfr_multi_criteria","5"
"318",FALSE,318,"WELL15_2","dfr_multi_criteria","5"
"319",FALSE,319,"WELL15_2","dfr_multi_criteria","5"
"320",FALSE,320,"WELL15_2","dfr_multi_criteria","5"
"321",FALSE,321,"WELL15_2","dfr_multi_criteria","5"
"322",FALSE,322,"WELL15_2","dfr_multi_criteria","5"
"323",FALSE,323,"WELL15_2","dfr_multi_criteria","5"
"324",FALSE,324,"WELL15_2","dfr_multi_criteria","5"
"325",FALSE,325,"WELL15_2","dfr_multi_criteria","5"
"326",FALSE,326,"WELL15_2","dfr_multi_criteria","5"
"327",FALSE,327,"WELL15_2","dfr_multi_criteria","5"
"328",FALSE,328,"WELL15_2","dfr_multi_criteria","5"
"329",FALSE,329,"WELL15_2","dfr_multi_criteria","5"
"330",FALSE,330,"WELL15_2","dfr_multi_criteria","5"
"331",FALSE,331,"WELL15_2","dfr_multi_criteria","5"
"332",FALSE,332,"WELL15_2","dfr_multi_criteria","5"
"333",FALSE,333,"WELL15_2","dfr_multi_criteria","5"
"334",FALSE,334,"WELL15_2","dfr_multi_criteria","5"
"335",FALSE,335,"WELL15_2","dfr_multi_criteria","5"
"336",FALSE,336,"WELL15_2","dfr_multi_criteria","5"
"337",FALSE,337,"WELL15_2","dfr_multi_criteria","5"
"338",FALSE,338,"WELL15_2","dfr_multi_criteria","5"
"339",FALSE,339,"WELL15_2","dfr_multi_criteria","5"
"340",FALSE,340,"WELL15_2","dfr_multi_criteria","5"
"341",FALSE,341,"WELL15_2","dfr_multi_criteria","5"
"342",FALSE,342,"WELL15_2","dfr_multi_criteria","5"
"343",FALSE,343,"WELL15_2","dfr_multi_criteria","5"
"344",FALSE,344,"WELL15_2","dfr_multi_criteria","5"
"345",FALSE,345,"WELL15_2","dfr_multi_criteria","5"
"346",FALSE,346,"WELL15_2","dfr_multi_criteria","5"
"347",FALSE,347,"WELL15_2","dfr_multi_criteria","5"
"348",FALSE,348,"WELL15_2","dfr_multi_criteria","5"
"349",FALSE,349,"WELL15_2","dfr_multi_criteria","5"
"350",FALSE,350,"WELL15_2","dfr_multi_criteria","5"
"351",FALSE,351,"WELL15_2","dfr_multi_criteria","5"
"352",FALSE,352,"WELL15_2","dfr_multi_criteria","5"
"353",FALSE,353,"WELL15_2","dfr_multi_criteria","5"
"354",FALSE,354,"WELL15_2","dfr_multi_criteria","5"
"355",FALSE,355,"WELL15_2","dfr_multi_criteria","5"
"356",FALSE,356,"WELL15_2","dfr_multi_criteria","5"
"357",FALSE,357,"WELL15_2","dfr_multi_criteria","5"
"358",FALSE,358,"WELL15_2","dfr_multi_criteria","5"
"359",FALSE,359,"WELL15_2","dfr_multi_criteria","5"
"360",FALSE,360,"WELL15_2","dfr_multi_criteria","5"
"361",FALSE,361,"WELL15_2","dfr_multi_criteria","5"
"362",FALSE,362,"WELL15_2","dfr_multi_criteria","5"
"363",FALSE,363,"WELL15_2","dfr_multi_criteria","5"
"364",FALSE,364,"WELL15_2","dfr_multi_criteria","5"
"365",FALSE,365,"WELL15_2","dfr_multi_criteria","5"
"366",FALSE,366,"WELL15_2","dfr_multi_criteria","5"
"367",FALSE,367,"WELL15_2","dfr_multi_criteria","5"
"368",FALSE,368,"WELL15_2","dfr_multi_criteria","5"
"369",FALSE,369,"WELL15_2","dfr_multi_criteria","5"
"370",FALSE,370,"WELL15_2","dfr_multi_criteria","5"
"371",FALSE,371,"WELL15_2","dfr_multi_criteria","5"
"372",FALSE,372,"WELL15_2","dfr_multi_criteria","5"
"373",FALSE,373,"WELL15_2","dfr_multi_criteria","5"
"374",FALSE,374,"WELL15_2","dfr_multi_criteria","5"
"375",FALSE,375,"WELL15_2","dfr_multi_criteria","5"
"376",FALSE,376,"WELL15_2","dfr_multi_criteria","5"
"377",FALSE,377,"WELL15_2","dfr_multi_criteria","5"
"378",FALSE,378,"WELL15_2","dfr_multi_criteria","5"
"379",FALSE,379,"WELL15_2","dfr_multi_criteria","5"
"380",FALSE,380,"WELL15_2","dfr_multi_criteria","5"
"381",FALSE,381,"WELL15_2","dfr_multi_criteria","5"
"382",FALSE,382,"WELL15_2","dfr_multi_criteria","5"
"383",FALSE,383,"WELL15_2","dfr_multi_criteria","5"
"384",FALSE,384,"WELL15_2","dfr_multi_criteria","5"
"385",FALSE,385,"WELL15_2","dfr_multi_criteria","5"
"386",FALSE,386,"WELL15_2","dfr_multi_criteria","5"
"387",FALSE,387,"WELL15_2","dfr_multi_criteria","5"
"388",FALSE,388,"WELL15_2","dfr_multi_criteria","5"
"389",FALSE,389,"WELL15_2","dfr_multi_criteria","5"
"390",FALSE,390,"WELL15_2","dfr_multi_criteria","5"
"391",FALSE,391,"WELL15_2","dfr_multi_criteria","5"
"392",FALSE,392,"WELL15_2","dfr_multi_criteria","5"
"393",FALSE,393,"WELL15_2","dfr_multi_criteria","5"
"394",FALSE,394,"WELL15_2","dfr_multi_criteria","5"
"395",FALSE,395,"WELL15_2","dfr_multi_criteria","5"
"396",FALSE,396,"WELL15_2","dfr_multi_criteria","5"
"397",FALSE,397,"WELL15_2","dfr_multi_criteria","5"
"398",FALSE,398,"WELL15_2","dfr_multi_criteria","5"
"399",FALSE,399,"WELL15_2","dfr_multi_criteria","5"
"400",FALSE,400,"WELL15_2","dfr_multi_criteria","5"
"401",FALSE,401,"WELL15_2","dfr_multi_criteria","5"
"402",FALSE,402,"WELL15_2","dfr_multi_criteria","5"
"403",FALSE,403,"WELL15_2","dfr_multi_criteria","5"
"404",FALSE,404,"WELL15_2","dfr_multi_criteria","5"
"405",FALSE,405,"WELL15_2","dfr_multi_criteria","5"
"406",FALSE,406,"WELL15_2","dfr_multi_criteria","5"
"407",FALSE,407,"WELL15_2","dfr_multi_criteria","5"
"408",FALSE,408,"WELL15_2","dfr_multi_criteria","5"
"409",FALSE,409,"WELL15_2","dfr_multi_criteria","5"
"410",FALSE,410,"WELL15_2","dfr_multi_criteria","5"
"411",FALSE,411,"WELL15_2","dfr_multi_criteria","5"
"412",FALSE,412,"WELL15_2","dfr_multi_criteria","5"
