"","index","accuracy","precision","recall","f1","auc","drift","event_type","example","classifier","drifter","drifter_target","incremental_memory"
"1","3","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"2","4","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"3","5","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"4","6","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"5","7","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"6","8","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"7","9","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"8","10","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"9","11","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"10","12","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"11","13","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"12","14","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"13","15","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"14","16","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"15","17","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"16","18","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"17","19","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"18","20","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"19","21","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"20","22","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"21","23","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"22","24","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"23","25","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"24","26","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"25","27","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"26","28","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"27","29","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"28","30","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"29","31","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"30","32","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"31","33","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"32","34","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"33","35","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"34","36","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"35","37","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"36","38","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"37","39","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"38","40","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"39","41","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"40","42","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"41","43","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"42","44","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"43","45","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"44","46","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"45","47","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"46","48","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"47","49","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"48","50","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"49","51","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"50","52","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"51","53","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"52","54","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"53","55","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"54","56","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"55","57","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"56","58","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"57","59","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"58","60","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"59","61","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"60","62","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"61","63","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"62","64","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
"63","65","1","NaN","NaN","NaN","0","FALSE","3","WELL14_2","cla_majority","dfr_adwin","distribution",TRUE
