dataset,aidan,baseline,naive
biocons,3.3858000764381346,3.8826584644038378,3.8861020792710446
bioprod,3.5242680461267013,3.615879235894706,3.419828023090552
ch4,2.072047493828362,2.2044568033335183,2.4834684332594468
clima,18.584807884111864,21.851803595497437,19.94090370108653
co2,4.98356573706635,4.914517930357867,5.275178471788987
gdp,6.384864260978884,7.478266344103743,6.960569516709382
k2o,11.539961678293905,11.370860283938958,11.539961678293905
n,4.760902194555338,5.273754047094688,6.202013914603271
n2o,2.313117447402027,2.577995392907279,3.7051505202793935
p2o5,11.525076736427303,10.698897296967672,11.755364977369606
pest,6.709599497052185,6.941962422561597,8.409066504958826
