"","drift","index","example","drifter","event_type"
"1",FALSE,1,"WELL20","dfr_multi_criteria","8"
"2",FALSE,2,"WELL20","dfr_multi_criteria","8"
"3",FALSE,3,"WELL20","dfr_multi_criteria","8"
"4",FALSE,4,"WELL20","dfr_multi_criteria","8"
"5",FALSE,5,"WELL20","dfr_multi_criteria","8"
"6",FALSE,6,"WELL20","dfr_multi_criteria","8"
"7",FALSE,7,"WELL20","dfr_multi_criteria","8"
"8",FALSE,8,"WELL20","dfr_multi_criteria","8"
"9",FALSE,9,"WELL20","dfr_multi_criteria","8"
"10",FALSE,10,"WELL20","dfr_multi_criteria","8"
"11",FALSE,11,"WELL20","dfr_multi_criteria","8"
"12",FALSE,12,"WELL20","dfr_multi_criteria","8"
"13",FALSE,13,"WELL20","dfr_multi_criteria","8"
"14",FALSE,14,"WELL20","dfr_multi_criteria","8"
"15",FALSE,15,"WELL20","dfr_multi_criteria","8"
"16",FALSE,16,"WELL20","dfr_multi_criteria","8"
"17",FALSE,17,"WELL20","dfr_multi_criteria","8"
"18",FALSE,18,"WELL20","dfr_multi_criteria","8"
"19",FALSE,19,"WELL20","dfr_multi_criteria","8"
"20",FALSE,20,"WELL20","dfr_multi_criteria","8"
"21",FALSE,21,"WELL20","dfr_multi_criteria","8"
"22",FALSE,22,"WELL20","dfr_multi_criteria","8"
"23",FALSE,23,"WELL20","dfr_multi_criteria","8"
"24",FALSE,24,"WELL20","dfr_multi_criteria","8"
"25",FALSE,25,"WELL20","dfr_multi_criteria","8"
"26",FALSE,26,"WELL20","dfr_multi_criteria","8"
"27",FALSE,27,"WELL20","dfr_multi_criteria","8"
"28",FALSE,28,"WELL20","dfr_multi_criteria","8"
"29",FALSE,29,"WELL20","dfr_multi_criteria","8"
"30",FALSE,30,"WELL20","dfr_multi_criteria","8"
"31",FALSE,31,"WELL20","dfr_multi_criteria","8"
"32",FALSE,32,"WELL20","dfr_multi_criteria","8"
"33",FALSE,33,"WELL20","dfr_multi_criteria","8"
"34",FALSE,34,"WELL20","dfr_multi_criteria","8"
"35",FALSE,35,"WELL20","dfr_multi_criteria","8"
"36",FALSE,36,"WELL20","dfr_multi_criteria","8"
"37",FALSE,37,"WELL20","dfr_multi_criteria","8"
"38",FALSE,38,"WELL20","dfr_multi_criteria","8"
"39",FALSE,39,"WELL20","dfr_multi_criteria","8"
"40",FALSE,40,"WELL20","dfr_multi_criteria","8"
"41",FALSE,41,"WELL20","dfr_multi_criteria","8"
"42",FALSE,42,"WELL20","dfr_multi_criteria","8"
"43",FALSE,43,"WELL20","dfr_multi_criteria","8"
"44",FALSE,44,"WELL20","dfr_multi_criteria","8"
