"","drift","index","example","drifter","event_type"
"1",FALSE,1,"WELL4_1","dfr_multi_criteria","6"
"2",FALSE,2,"WELL4_1","dfr_multi_criteria","6"
"3",FALSE,3,"WELL4_1","dfr_multi_criteria","6"
"4",FALSE,4,"WELL4_1","dfr_multi_criteria","6"
"5",FALSE,5,"WELL4_1","dfr_multi_criteria","6"
"6",FALSE,6,"WELL4_1","dfr_multi_criteria","6"
"7",FALSE,7,"WELL4_1","dfr_multi_criteria","6"
"8",FALSE,8,"WELL4_1","dfr_multi_criteria","6"
"9",FALSE,9,"WELL4_1","dfr_multi_criteria","6"
"10",FALSE,10,"WELL4_1","dfr_multi_criteria","6"
"11",FALSE,11,"WELL4_1","dfr_multi_criteria","6"
"12",FALSE,12,"WELL4_1","dfr_multi_criteria","6"
"13",FALSE,13,"WELL4_1","dfr_multi_criteria","6"
"14",FALSE,14,"WELL4_1","dfr_multi_criteria","6"
"15",FALSE,15,"WELL4_1","dfr_multi_criteria","6"
"16",FALSE,16,"WELL4_1","dfr_multi_criteria","6"
"17",FALSE,17,"WELL4_1","dfr_multi_criteria","6"
"18",FALSE,18,"WELL4_1","dfr_multi_criteria","6"
"19",FALSE,19,"WELL4_1","dfr_multi_criteria","6"
"20",FALSE,20,"WELL4_1","dfr_multi_criteria","6"
"21",FALSE,21,"WELL4_1","dfr_multi_criteria","6"
"22",FALSE,22,"WELL4_1","dfr_multi_criteria","6"
"23",FALSE,23,"WELL4_1","dfr_multi_criteria","6"
"24",FALSE,24,"WELL4_1","dfr_multi_criteria","6"
"25",FALSE,25,"WELL4_1","dfr_multi_criteria","6"
"26",FALSE,26,"WELL4_1","dfr_multi_criteria","6"
"27",FALSE,27,"WELL4_1","dfr_multi_criteria","6"
"28",FALSE,28,"WELL4_1","dfr_multi_criteria","6"
"29",FALSE,29,"WELL4_1","dfr_multi_criteria","6"
"30",FALSE,30,"WELL4_1","dfr_multi_criteria","6"
"31",FALSE,31,"WELL4_1","dfr_multi_criteria","6"
"32",FALSE,32,"WELL4_1","dfr_multi_criteria","6"
"33",FALSE,33,"WELL4_1","dfr_multi_criteria","6"
"34",FALSE,34,"WELL4_1","dfr_multi_criteria","6"
"35",FALSE,35,"WELL4_1","dfr_multi_criteria","6"
"36",FALSE,36,"WELL4_1","dfr_multi_criteria","6"
"37",FALSE,37,"WELL4_1","dfr_multi_criteria","6"
"38",FALSE,38,"WELL4_1","dfr_multi_criteria","6"
"39",FALSE,39,"WELL4_1","dfr_multi_criteria","6"
"40",FALSE,40,"WELL4_1","dfr_multi_criteria","6"
"41",FALSE,41,"WELL4_1","dfr_multi_criteria","6"
"42",FALSE,42,"WELL4_1","dfr_multi_criteria","6"
"43",FALSE,43,"WELL4_1","dfr_multi_criteria","6"
"44",FALSE,44,"WELL4_1","dfr_multi_criteria","6"
"45",FALSE,45,"WELL4_1","dfr_multi_criteria","6"
"46",FALSE,46,"WELL4_1","dfr_multi_criteria","6"
"47",FALSE,47,"WELL4_1","dfr_multi_criteria","6"
"48",FALSE,48,"WELL4_1","dfr_multi_criteria","6"
"49",FALSE,49,"WELL4_1","dfr_multi_criteria","6"
"50",FALSE,50,"WELL4_1","dfr_multi_criteria","6"
"51",FALSE,51,"WELL4_1","dfr_multi_criteria","6"
"52",FALSE,52,"WELL4_1","dfr_multi_criteria","6"
"53",FALSE,53,"WELL4_1","dfr_multi_criteria","6"
"54",FALSE,54,"WELL4_1","dfr_multi_criteria","6"
"55",FALSE,55,"WELL4_1","dfr_multi_criteria","6"
"56",FALSE,56,"WELL4_1","dfr_multi_criteria","6"
